"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","mean_hires","hour_pred","day_pred","temp_rounded","temp_pred","hum_rounded","hum_pred","year_pred","season_pred","workday_pred","weathersit_pred"
"1471",2608,"2011-04-23",2,0,4,13,0,6,0,1,0.52,0.5,0.83,0.3881,126,186,312,189.294933716987,66.1902147978645,0.178738950629814,0.5,9.70992835427652,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1472",2609,"2011-04-23",2,0,4,14,0,6,0,1,0.58,0.5455,0.78,0.3582,182,209,391,189.294933716987,50.2491468875471,0.178738950629814,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1473",2610,"2011-04-23",2,0,4,15,0,6,0,1,0.6,0.5909,0.73,0.3881,171,226,397,189.294933716987,59.973831416185,0.178738950629814,0.6,38.2875704441151,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1474",2611,"2011-04-23",2,0,4,16,0,6,0,1,0.6,0.5909,0.73,0.2836,180,246,426,189.294933716987,128.995882609544,0.178738950629814,0.6,38.2875704441151,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1475",2612,"2011-04-23",2,0,4,17,0,6,0,1,0.6,0.5909,0.73,0.3284,168,215,383,189.294933716987,271.820829829811,0.178738950629814,0.6,38.2875704441151,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1476",2613,"2011-04-23",2,0,4,18,0,6,0,1,0.58,0.5455,0.78,0.194,149,227,376,189.294933716987,238.653214431161,0.178738950629814,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1477",2614,"2011-04-23",2,0,4,19,0,6,0,1,0.56,0.5303,0.83,0.2836,84,199,283,189.294933716987,122.614840719103,0.178738950629814,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1478",2615,"2011-04-23",2,0,4,20,0,6,0,2,0.54,0.5152,0.88,0.2537,45,138,183,189.294933716987,38.2859486359542,0.178738950629814,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,-2.01663270456385
"1479",2617,"2011-04-23",2,0,4,22,0,6,0,2,0.58,0.5455,0.78,0.2537,55,114,169,189.294933716987,-56.4508090167471,0.178738950629814,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,2.1370743605406,-2.01663270456385
"1480",2620,"2011-04-24",2,0,4,1,0,0,0,1,0.5,0.4848,0.88,0.194,14,40,54,189.294933716987,-157.619258041311,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1481",2621,"2011-04-24",2,0,4,2,0,0,0,1,0.5,0.4848,0.88,0.194,27,45,72,189.294933716987,-166.275656608553,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1482",2622,"2011-04-24",2,0,4,3,0,0,0,1,0.5,0.4848,0.94,0.0896,4,20,24,189.294933716987,-176.811994084441,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1483",2623,"2011-04-24",2,0,4,4,0,0,0,1,0.5,0.4848,0.94,0.0896,0,5,5,189.294933716987,-183.193106040747,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1484",2624,"2011-04-24",2,0,4,5,0,0,0,1,0.5,0.4848,0.94,0.0896,5,7,12,189.294933716987,-168.255909326743,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1485",2625,"2011-04-24",2,0,4,6,0,0,0,2,0.5,0.4848,1,0,10,3,13,189.294933716987,-109.183245405299,-12.7492381871949,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,2.1370743605406,-2.01663270456385
"1486",2626,"2011-04-24",2,0,4,7,0,0,0,2,0.5,0.4848,1,0,16,11,27,189.294933716987,20.2606218385686,-12.7492381871949,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,2.1370743605406,-2.01663270456385
"1487",2627,"2011-04-24",2,0,4,8,0,0,0,1,0.52,0.5,0.94,0.2239,38,42,80,189.294933716987,168.00627110229,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1488",2628,"2011-04-24",2,0,4,9,0,0,0,1,0.56,0.5303,0.88,0.2537,73,104,177,189.294933716987,27.8899004062358,-12.7492381871949,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1489",2629,"2011-04-24",2,0,4,10,0,0,0,1,0.6,0.5758,0.78,0.1642,118,171,289,189.294933716987,-19.670873566611,-12.7492381871949,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1490",2630,"2011-04-24",2,0,4,11,0,0,0,1,0.66,0.6212,0.65,0.1343,124,193,317,189.294933716987,20.9481855490681,-12.7492381871949,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1491",2631,"2011-04-24",2,0,4,12,0,0,0,1,0.68,0.6364,0.65,0.2537,168,220,388,189.294933716987,64.623985201932,-12.7492381871949,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1492",2635,"2011-04-24",2,0,4,16,0,0,0,1,0.74,0.6667,0.48,0.3881,162,197,359,189.294933716987,128.995882609544,-12.7492381871949,0.7,60.6044253229594,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1493",2636,"2011-04-24",2,0,4,17,0,0,0,1,0.66,0.6212,0.65,0.2985,142,189,331,189.294933716987,271.820829829811,-12.7492381871949,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1494",2637,"2011-04-24",2,0,4,18,0,0,0,1,0.64,0.6061,0.69,0.1642,96,174,270,189.294933716987,238.653214431161,-12.7492381871949,0.6,38.2875704441151,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1495",2641,"2011-04-24",2,0,4,22,0,0,0,3,0.54,0.5152,1,0.1642,5,40,45,189.294933716987,-56.4508090167471,-12.7492381871949,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,2.1370743605406,-55.2474463615831
"1496",2642,"2011-04-24",2,0,4,23,0,0,0,3,0.54,0.5152,1,0.0896,5,37,42,189.294933716987,-100.297396771174,-12.7492381871949,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,2.1370743605406,-55.2474463615831
"1497",2644,"2011-04-25",2,0,4,1,0,1,1,1,0.54,0.5152,1,0.0896,2,8,10,189.294933716987,-157.619258041311,-7.80393066770263,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1498",2647,"2011-04-25",2,0,4,4,0,1,1,2,0.52,0.5,1,0,1,4,5,189.294933716987,-183.193106040747,-7.80393066770263,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1499",2648,"2011-04-25",2,0,4,5,0,1,1,2,0.46,0.4545,1,0,3,14,17,189.294933716987,-168.255909326743,-7.80393066770263,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1500",2650,"2011-04-25",2,0,4,7,0,1,1,2,0.52,0.5,1,0.0896,13,183,196,189.294933716987,20.2606218385686,-7.80393066770263,0.5,9.70992835427652,1,-53.5199027881412,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1501",2651,"2011-04-25",2,0,4,8,0,1,1,1,0.56,0.5303,0.88,0.1045,27,326,353,189.294933716987,168.00627110229,-7.80393066770263,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1502",2654,"2011-04-25",2,0,4,11,0,1,1,1,0.64,0.6061,0.73,0.2239,53,94,147,189.294933716987,20.9481855490681,-7.80393066770263,0.6,38.2875704441151,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1503",2655,"2011-04-25",2,0,4,12,0,1,1,1,0.66,0.6212,0.74,0.2537,48,140,188,189.294933716987,64.623985201932,-7.80393066770263,0.7,60.6044253229594,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1504",2656,"2011-04-25",2,0,4,13,0,1,1,1,0.7,0.6515,0.65,0.2239,57,146,203,189.294933716987,66.1902147978645,-7.80393066770263,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1505",2658,"2011-04-25",2,0,4,15,0,1,1,1,0.74,0.6667,0.51,0.2239,50,125,175,189.294933716987,59.973831416185,-7.80393066770263,0.7,60.6044253229594,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1506",2659,"2011-04-25",2,0,4,16,0,1,1,1,0.7,0.6515,0.54,0.3582,41,198,239,189.294933716987,128.995882609544,-7.80393066770263,0.7,60.6044253229594,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1507",2660,"2011-04-25",2,0,4,17,0,1,1,1,0.7,0.6515,0.54,0.2985,80,441,521,189.294933716987,271.820829829811,-7.80393066770263,0.7,60.6044253229594,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1508",2661,"2011-04-25",2,0,4,18,0,1,1,1,0.68,0.6364,0.57,0.3582,74,425,499,189.294933716987,238.653214431161,-7.80393066770263,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1509",2665,"2011-04-25",2,0,4,22,0,1,1,1,0.6,0.5909,0.73,0.2985,23,83,106,189.294933716987,-56.4508090167471,-7.80393066770263,0.6,38.2875704441151,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1510",2666,"2011-04-25",2,0,4,23,0,1,1,1,0.58,0.5455,0.78,0.2836,9,53,62,189.294933716987,-100.297396771174,-7.80393066770263,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1511",2670,"2011-04-26",2,0,4,3,0,2,1,1,0.54,0.5152,0.88,0.2836,17,4,21,189.294933716987,-176.811994084441,0.466791607530132,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1512",2672,"2011-04-26",2,0,4,5,0,2,1,1,0.54,0.5152,0.88,0.2537,0,16,16,189.294933716987,-168.255909326743,0.466791607530132,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1513",2674,"2011-04-26",2,0,4,7,0,2,1,1,0.58,0.5455,0.83,0.2985,16,254,270,189.294933716987,20.2606218385686,0.466791607530132,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1514",2677,"2011-04-26",2,0,4,10,0,2,1,1,0.66,0.6212,0.69,0.3582,22,98,120,189.294933716987,-19.670873566611,0.466791607530132,0.7,60.6044253229594,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1515",2678,"2011-04-26",2,0,4,11,0,2,1,1,0.68,0.6364,0.65,0.3881,40,132,172,189.294933716987,20.9481855490681,0.466791607530132,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1516",2680,"2011-04-26",2,0,4,13,0,2,1,1,0.74,0.6667,0.51,0.4478,37,139,176,189.294933716987,66.1902147978645,0.466791607530132,0.7,60.6044253229594,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1517",2681,"2011-04-26",2,0,4,14,0,2,1,1,0.72,0.6667,0.58,0.3284,40,115,155,189.294933716987,50.2491468875471,0.466791607530132,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1518",2682,"2011-04-26",2,0,4,15,0,2,1,1,0.7,0.6515,0.61,0.3582,34,119,153,189.294933716987,59.973831416185,0.466791607530132,0.7,60.6044253229594,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1519",2692,"2011-04-27",2,0,4,1,0,3,1,1,0.6,0.5606,0.83,0.2537,2,15,17,189.294933716987,-157.619258041311,5.91367535123775,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1520",2694,"2011-04-27",2,0,4,3,0,3,1,2,0.58,0.5455,0.88,0.2836,3,4,7,189.294933716987,-176.811994084441,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1521",2696,"2011-04-27",2,0,4,5,0,3,1,2,0.56,0.5303,0.94,0.2537,1,16,17,189.294933716987,-168.255909326743,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1522",2698,"2011-04-27",2,0,4,7,0,3,1,2,0.58,0.5455,0.88,0.2836,17,229,246,189.294933716987,20.2606218385686,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1523",2699,"2011-04-27",2,0,4,8,0,3,1,2,0.58,0.5455,0.88,0.3284,31,413,444,189.294933716987,168.00627110229,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1524",2700,"2011-04-27",2,0,4,9,0,3,1,2,0.6,0.5455,0.88,0.4179,20,161,181,189.294933716987,27.8899004062358,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1525",2702,"2011-04-27",2,0,4,11,0,3,1,2,0.64,0.5909,0.78,0.2836,53,103,156,189.294933716987,20.9481855490681,5.91367535123775,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1526",2703,"2011-04-27",2,0,4,12,0,3,1,1,0.66,0.6061,0.78,0.3284,38,135,173,189.294933716987,64.623985201932,5.91367535123775,0.7,60.6044253229594,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1527",2704,"2011-04-27",2,0,4,13,0,3,1,1,0.64,0.5909,0.78,0.2985,31,119,150,189.294933716987,66.1902147978645,5.91367535123775,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1528",2707,"2011-04-27",2,0,4,16,0,3,1,1,0.7,0.6515,0.7,0.3881,29,189,218,189.294933716987,128.995882609544,5.91367535123775,0.7,60.6044253229594,0.7,7.17255397102485,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1529",2713,"2011-04-27",2,0,4,22,0,3,1,2,0.62,0.5606,0.88,0.3284,18,111,129,189.294933716987,-56.4508090167471,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1530",2714,"2011-04-27",2,0,4,23,0,3,1,2,0.62,0.5606,0.88,0.3582,25,53,78,189.294933716987,-100.297396771174,5.91367535123775,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1531",2716,"2011-04-28",2,0,4,1,0,4,1,2,0.62,0.5758,0.83,0.3881,8,12,20,189.294933716987,-157.619258041311,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1532",2717,"2011-04-28",2,0,4,2,0,4,1,2,0.62,0.5758,0.83,0.4478,14,7,21,189.294933716987,-166.275656608553,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1533",2718,"2011-04-28",2,0,4,3,0,4,1,2,0.64,0.5909,0.78,0.3881,2,1,3,189.294933716987,-176.811994084441,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1534",2720,"2011-04-28",2,0,4,5,0,4,1,2,0.62,0.5758,0.83,0.3881,0,13,13,189.294933716987,-168.255909326743,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1535",2721,"2011-04-28",2,0,4,6,0,4,1,2,0.64,0.5909,0.78,0.4627,7,79,86,189.294933716987,-109.183245405299,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1536",2723,"2011-04-28",2,0,4,8,0,4,1,2,0.66,0.6061,0.78,0.4478,31,367,398,189.294933716987,168.00627110229,8.0614287458281,0.7,60.6044253229594,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1537",2724,"2011-04-28",2,0,4,9,0,4,1,3,0.62,0.5606,0.88,0.3284,18,165,183,189.294933716987,27.8899004062358,8.0614287458281,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-55.2474463615831
"1538",2725,"2011-04-28",2,0,4,10,0,4,1,2,0.62,0.5606,0.88,0.2836,9,45,54,189.294933716987,-19.670873566611,8.0614287458281,0.6,38.2875704441151,0.9,-36.9262319700655,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1539",2727,"2011-04-28",2,0,4,12,0,4,1,2,0.62,0.5909,0.78,0.2537,23,84,107,189.294933716987,64.623985201932,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1540",2728,"2011-04-28",2,0,4,13,0,4,1,2,0.62,0.5758,0.83,0.2985,18,103,121,189.294933716987,66.1902147978645,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1541",2731,"2011-04-28",2,0,4,16,0,4,1,1,0.62,0.5909,0.78,0.2537,42,228,270,189.294933716987,128.995882609544,8.0614287458281,0.6,38.2875704441151,0.8,-7.9856781972704,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1542",2733,"2011-04-28",2,0,4,18,0,4,1,1,0.64,0.6212,0.47,0.3582,44,486,530,189.294933716987,238.653214431161,8.0614287458281,0.6,38.2875704441151,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1543",2734,"2011-04-28",2,0,4,19,0,4,1,1,0.62,0.6212,0.43,0.2985,57,347,404,189.294933716987,122.614840719103,8.0614287458281,0.6,38.2875704441151,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1544",2738,"2011-04-28",2,0,4,23,0,4,1,1,0.54,0.5152,0.39,0.0896,29,81,110,189.294933716987,-100.297396771174,8.0614287458281,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1545",2739,"2011-04-29",2,0,4,0,0,5,1,1,0.52,0.5,0.39,0.2836,11,37,48,189.294933716987,-135.023747276309,6.57721126897779,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1546",2740,"2011-04-29",2,0,4,1,0,5,1,1,0.5,0.4848,0.45,0.0896,10,21,31,189.294933716987,-157.619258041311,6.57721126897779,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1547",2741,"2011-04-29",2,0,4,2,0,5,1,1,0.46,0.4545,0.63,0.1045,2,8,10,189.294933716987,-166.275656608553,6.57721126897779,0.5,9.70992835427652,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1548",2742,"2011-04-29",2,0,4,3,0,5,1,1,0.46,0.4545,0.59,0.0896,1,4,5,189.294933716987,-176.811994084441,6.57721126897779,0.5,9.70992835427652,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1549",2743,"2011-04-29",2,0,4,4,0,5,1,1,0.46,0.4545,0.51,0.1343,0,6,6,189.294933716987,-183.193106040747,6.57721126897779,0.5,9.70992835427652,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1550",2744,"2011-04-29",2,0,4,5,0,5,1,1,0.46,0.4545,0.47,0.1343,0,25,25,189.294933716987,-168.255909326743,6.57721126897779,0.5,9.70992835427652,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1551",2745,"2011-04-29",2,0,4,6,0,5,1,1,0.5,0.4848,0.45,0.2836,4,67,71,189.294933716987,-109.183245405299,6.57721126897779,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1552",2747,"2011-04-29",2,0,4,8,0,5,1,1,0.54,0.5152,0.39,0.2985,35,386,421,189.294933716987,168.00627110229,6.57721126897779,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1553",2748,"2011-04-29",2,0,4,9,0,5,1,1,0.54,0.5152,0.39,0.3284,45,185,230,189.294933716987,27.8899004062358,6.57721126897779,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1554",2751,"2011-04-29",2,0,4,12,0,5,1,1,0.56,0.5303,0.37,0.2836,63,160,223,189.294933716987,64.623985201932,6.57721126897779,0.6,38.2875704441151,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1555",2752,"2011-04-29",2,0,4,13,0,5,1,1,0.56,0.5303,0.37,0.2985,74,234,308,189.294933716987,66.1902147978645,6.57721126897779,0.6,38.2875704441151,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1556",2753,"2011-04-29",2,0,4,14,0,5,1,1,0.6,0.6212,0.35,0.3284,58,190,248,189.294933716987,50.2491468875471,6.57721126897779,0.6,38.2875704441151,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1557",2754,"2011-04-29",2,0,4,15,0,5,1,2,0.56,0.5303,0.4,0.2985,77,175,252,189.294933716987,59.973831416185,6.57721126897779,0.6,38.2875704441151,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1558",2756,"2011-04-29",2,0,4,17,0,5,1,2,0.52,0.5,0.45,0.3881,75,433,508,189.294933716987,271.820829829811,6.57721126897779,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1559",2757,"2011-04-29",2,0,4,18,0,5,1,1,0.52,0.5,0.48,0.3582,55,384,439,189.294933716987,238.653214431161,6.57721126897779,0.5,9.70992835427652,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1560",2758,"2011-04-29",2,0,4,19,0,5,1,1,0.46,0.4545,0.55,0.3284,40,230,270,189.294933716987,122.614840719103,6.57721126897779,0.5,9.70992835427652,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1561",2759,"2011-04-29",2,0,4,20,0,5,1,1,0.48,0.4697,0.48,0.2239,34,160,194,189.294933716987,38.2859486359542,6.57721126897779,0.5,9.70992835427652,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1562",2761,"2011-04-29",2,0,4,22,0,5,1,1,0.42,0.4242,0.58,0.1642,36,110,146,189.294933716987,-56.4508090167471,6.57721126897779,0.4,-28.8800053072801,0.6,11.3161242527334,-42.5077154316291,5.2577969816757,-1.00334705329519,7.65827939577592
"1563",2762,"2011-04-29",2,0,4,23,0,5,1,2,0.44,0.4394,0.54,0.0896,25,88,113,189.294933716987,-100.297396771174,6.57721126897779,0.4,-28.8800053072801,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,-1.00334705329519,-2.01663270456385
"1564",2763,"2011-04-30",2,0,4,0,0,6,0,2,0.44,0.4394,0.54,0.2537,33,73,106,189.294933716987,-135.023747276309,0.178738950629814,0.4,-28.8800053072801,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,2.1370743605406,-2.01663270456385
"1565",2765,"2011-04-30",2,0,4,2,0,6,0,2,0.44,0.4394,0.54,0.2239,12,53,65,189.294933716987,-166.275656608553,0.178738950629814,0.4,-28.8800053072801,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,2.1370743605406,-2.01663270456385
"1566",2768,"2011-04-30",2,0,4,5,0,6,0,1,0.42,0.4242,0.54,0.3881,3,4,7,189.294933716987,-168.255909326743,0.178738950629814,0.4,-28.8800053072801,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1567",2770,"2011-04-30",2,0,4,7,0,6,0,1,0.4,0.4091,0.54,0.3881,21,27,48,189.294933716987,20.2606218385686,0.178738950629814,0.4,-28.8800053072801,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1568",2772,"2011-04-30",2,0,4,9,0,6,0,1,0.44,0.4394,0.51,0.3582,35,121,156,189.294933716987,27.8899004062358,0.178738950629814,0.4,-28.8800053072801,0.5,6.67149009129869,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1569",2773,"2011-04-30",2,0,4,10,0,6,0,1,0.48,0.4697,0.44,0.3881,94,185,279,189.294933716987,-19.670873566611,0.178738950629814,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1570",2774,"2011-04-30",2,0,4,11,0,6,0,1,0.5,0.4848,0.42,0.3582,120,201,321,189.294933716987,20.9481855490681,0.178738950629814,0.5,9.70992835427652,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
"1571",2778,"2011-04-30",2,0,4,15,0,6,0,1,0.56,0.5303,0.37,0.1343,217,282,499,189.294933716987,59.973831416185,0.178738950629814,0.6,38.2875704441151,0.4,20.6514475184918,-42.5077154316291,5.2577969816757,2.1370743605406,7.65827939577592
